folio,A_fecha,A_1_1,A_1_2,A_2_1_1,A_2_1_2,A_2_1_3,A_2_1_4,A_2_1_5,A_2_1_6,A_2_1_7,A_2_1_O,A_3_1,A_4_1_1,A_4_1_2,A_4_1_3,A_4_1_4,A_4_1_O,A_4_21,A_4_22,A_4_23,A_4_24,A_4_25,A_4_26,A_4_27,A_4_2_1,A_4_2_2,A_4_2_3,A_4_2_4,A_4_2_5,A_4_2_O,A_4_2_6,A_4_3,A_4_3_O,A_4_4,A_4_4_O,A_4_5,A_4_6,A_4_7_1,A_4_7_2,A_4_7_3,A_4_7_4,A_4_7_5,A_4_7_O,A_5_1,A_5_2,A_5_3,A_5_4,A_5_5,A_5_6,A_5_7,A_5_8,A_5_9,A_6_1,A_6_2,A_6_3,A_6_4,A_7_1,A_7_1_O,A_7_2_1,A_7_2_2,A_7_2_3,A_7_2_4,A_7_2_5,A_7_2_6,A_7_2_7,A_7_2_8,A_7_2_9,A_7_2_O,A_7_3,A_7_3_O,A_8_1,A_8_2,A_9_1,A_9_2,A_9_3,A_9_4,A_10_1_1,A_10_1_2,A_10_1_3,A_10_2_1,A_10_2_2,A_10_2_3,A_10_2_4,A_10_2_5,A_10_2_6,A_10_2_7,A_10_2_8
0497-2015,14-Apr,2016,2-Apr,1955,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,18,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,100,0,0,0,1,2.5,1.25,0,Nada bien,Muy común,Nada,0,No Sabe,,Indemnización Constitucional,Horas extraordinarias,,,,,,,,,No,,Algo de acuerdo,Mucho,No,No,,Totalmente de acuerdo,"$50,000 ","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$12,000 EN UN MES",,,,
1402-2015,29-Mar,2016,21-Jun,1980,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no tengo tiempo para atender mi demanda,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,0,,,,,,Sí sabe,0,Otra,B,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,50,0,0,0,0,1.1666666,0,0,Medianamente bien,Muy común,Nada,0,Sí Sabe,0,Indemnización Constitucional,,,,,,,,,,No,,Poco de acuerdo,Mucho,Sí,No,,Nada de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 EN UN MES",,,,,
1860-2015,24-May,2016,21-Jun,1977,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,1 a 10 empleados,Porque no tengo tiempo para atender mi demanda,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,"Yo decidiría si aceptar o no la oferta, sin consultar a mi abogado",No,,,,,,,70,50,18000,45000,20000,1.6666666,2.9166667,2.1666667,10000,Medianamente bien,Poco común,Nada,17000,Sí Sabe,90,Indemnización Constitucional,,,,,,,,,,No,,Algo de acuerdo,Poco ,Sí,No,,Nada de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$12,000 EN UN MES",,,,
0296-2016,29-Apr,2016,24-Jun,1973,Secundaria,Indemnización por despido injustificado,,,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Un solo pago SOLO si gano el juicio,,,,,,,,,,,1000,,,No sabe,,Me lo recomendó un familiar o amigo,,"Yo decidiría si aceptar o no la oferta, sin consultar a mi abogado",No,,,,,,,80,20,200000,400000,200000,2.1666667,3.0833333,2.4166667,200000,Nada bien,Muy común,Nada,400000,Sí Sabe,365,Indemnización Constitucional,,,,,,,,,,No,,Totalmente de acuerdo,Mucho,No,Sí,50,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$12,000 EN UN MES",,,,
0120-2014,27-Apr,2016,8-Aug,1977,Más que preparatoria,Indemnización por despido injustificado,Pago de prestaciones,Pago de finiquito,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,30,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,"Yo decidiría si aceptar o no la oferta, sin consultar a mi abogado",No,,,,,,,100,20,250000,300000,250000,1.5,2.5,2.5,200000,No tan bien,Muy común,Mucho,250000,Sí Sabe,90,Indemnización Constitucional,Horas extraordinarias,Aguinaldo,,,,,,,,No,,Algo de acuerdo,Mucho,No,Sí,80,Poco de acuerdo,"$50,000 ","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$12,000 EN UN MES",,,,
1296-2015,14-Mar,2016,10-Feb,1961,Preparatoria,Indemnización por despido injustificado,,,,,,,,No Sabe ,Porque no tengo los conocimientos para demandar,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Otra,No,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,0,0,0,0,0,1,1.1666666,1,0,Nada bien,Muy común,Mucho,0,No Sabe,,Indemnización Constitucional,,,,,,,,,,No,,Poco de acuerdo,Mucho,No,No,,Totalmente de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","$50,000 ","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$12,000 EN UN MES",,,,
0884-2015,20-Apr,2016,25-Sep,1975,Más que preparatoria,Indemnización por despido injustificado,Pago de prestaciones,,,,,,,51 a 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,70,30,100000,150000,110000,1.9166666,2.0833333,2.0833333,90000,Nada bien,Muy común,Medianamente,500000,Sí Sabe,90,Indemnización Constitucional,Aguinaldo,Otro,,,,,,,Prima vacacional,No,,Totalmente de acuerdo,Mucho,Sí,No,,Algo de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$15,000 EN UN MES",,,
0417-2016,20-May,2016,26-Oct,1954,Secundaria,Pago de prestaciones,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,Porque no tengo tiempo para atender mi demanda,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,0,,,,,,No sabe,,Es un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,0,0,0,0,0,0,1,1,0,Nada bien,Muy común,Mucho,0,No Sabe,,Indemnización Constitucional,Horas extraordinarias,,,,,,,,,No,,Totalmente de acuerdo,Mucho,No,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$12,000 EN UN MES",,,,
1608-2015,16-May,2016,22-Oct,1969,Preparatoria,Indemnización por despido injustificado,,,,,,,,1 a 10 empleados,Porque no tengo los conocimientos para demandar,,,,,Ningun pago,,,,,,,,,,,,,,Sí sabe,20000,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,0,15000,20000,20000,1,1.5,1.5,20000,Muy bien,Poco común,Medianamente,20000,Sí Sabe,90,Indemnización Constitucional,Otro,,,,,,,,Salarios caidos,No,,Algo de acuerdo,Mucho,No,Sí,80,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
1954-2015,26-May,2016,7-Jun,1968,Preparatoria,Indemnización por despido injustificado,,,,,,,,1 a 10 empleados,Porque no se permite demandar sin un abogado,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,30,,,,,,No sabe,,Otra,Calle,"Mi abogado decidiría si aceptar o no la oferta, sin consultarme",No,,,,,,,70,70,21000,60000,40000,1,1.8333334,1,50000,Medianamente bien,Medianamente común,Medianamente,60000,No Sabe,,No Sabe,,,,,,,,,,No,,Algo de acuerdo,Medianamente,No,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 EN UN MES",,,,,
1168-2014,27-Apr,2016,7-Dec,1960,Secundaria,Indemnización por despido injustificado,,,,,,,,11 a 50 empleados,Otra,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Otra,No tengo,"Yo decidiría si aceptar o no la oferta, sin consultar a mi abogado",Sí,El desempeño de mi abogado era deficiente,,,,,,70,50,50000,100000,70000,3,5,4,50000,Medianamente bien,Nada común,Poco,100000,No Sabe,,Indemnización Constitucional,Seguro de gastos médicos mayores,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,,,,,,No,,Poco de acuerdo,Nada,No,Sí,50,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 EN UN MES",,,,,
0624-2014,19-May,2016,31-Aug,1956,Más que preparatoria,Indemnización por despido injustificado,Pago de finiquito,,,,,,,51 a 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,33,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,Sí,El abogado decidió dejar el caso,,,,,,70,100,150000,300000,150000,3.5,4.5,3.5,150000,Medianamente bien,Muy común,Mucho,250000,No Sabe,,Indemnización Constitucional,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,,,,,,,No,,Poco de acuerdo,Mucho,No,Sí,50,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$15,000 EN UN MES",,,
0352-2014,17-May,2016,13-Nov,1960,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,11 a 50 empleados,Porque no se permite demandar sin un abogado,,,,,Un solo pago SOLO si gano el juicio,,,,,,,,,,,1000,,,No sabe,,Ya había trabajado con él antes,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,Sí,El desempeño de mi abogado era deficiente,,,,,,60,50,100000,200000,100000,3.5,6.9166665,3.9166667,200000,Medianamente bien,Muy común,Mucho,200000,No Sabe,,Indemnización Constitucional,Horas extraordinarias,Prima por trabajar los sábados,,,,,,,,Sí,2,Algo de acuerdo,Mucho,Sí,No,,Algo de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$12,000 EN UN MES",,,,
1662-2015,13-Apr,2016,10-Aug,1966,Más que preparatoria,Otra,,,,,,,,Más de 100 empleados,Porque no se permite demandar sin un abogado,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,40,,,,,,No sabe,,Otra,En la puerta principal del juzgado,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,100,70000,70000,70000,0.5,1.5,1.5,70000,Muy bien,Poco común,Nada,70000,No Sabe,,Otro,,,,,,,,,Comisiones completas,Sí,1,Nada de acuerdo,Medianamente,No,Sí,100,Totalmente de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
1313-2014,25-May,2016,17-Feb,1964,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,30,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,75,50,100,180,100,2.9166667,3,3,85,Nada bien,Muy común,Medianamente,120000,Sí Sabe,90,Indemnización Constitucional,Reinstalación,,,,,,,,,Sí,1,Totalmente de acuerdo,Mucho,Sí,No,,Algo de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$12,000 EN UN MES",,,,
0178-2015,18-Apr,2016,22-Oct,1972,Más que preparatoria,Indemnización por despido injustificado,Pago de prestaciones,Pago de finiquito,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,35,,,,,,No sabe,,Otra,Di con el preguntando por un abogado,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,0,0,0,0,1,4,3,50000,No tan bien,Muy común,Mucho,50000,Sí Sabe,90,Indemnización Constitucional,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,,,,,,,No,,Poco de acuerdo,Mucho,Sí,No,,Algo de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$15,000 EN UN MES",,,
0304-2016,29-Apr,2016,24-Dec,1989,Secundaria,Indemnización por despido injustificado,Pago de prestaciones,,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,10,,,,,,Sí sabe,120000,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,"Yo decidiría si aceptar o no la oferta, sin consultar a mi abogado",No,,,,,,,80,80,80000,100000,90000,1.4166666,2.8333333,1.8333334,85000,No tan bien,Medianamente común,Poco,80000,No Sabe,,Horas extraordinarias,Aguinaldo,,,,,,,,,No,,Poco de acuerdo,Mucho,Sí,No,,Algo de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
0242-2014,26-Apr,2016,29-Apr,1980,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no tengo tiempo para atender mi demanda,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,35,,,,,,No sabe,,Ya había trabajado con él antes,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,50,50,100000,293000,150000,4.9166665,5.9166665,5.9166665,100000,Nada bien,Muy común,Mucho,293000,Sí Sabe,90,Indemnización Constitucional,Horas extraordinarias,Aguinaldo,Otro,,,,,,"Salarios devengados, caidos, prima de antiguedad,vacaciona, y los de ley",No,,Totalmente de acuerdo,Mucho,Sí,No,,Totalmente de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","$50,000 ","$50,000 ","$10,000 MAÑANA","$12,000 EN UN MES",,,,
0092-2016,18-Mar,2016,6-Dec,1961,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,Porque no tengo tiempo para atender mi demanda,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,33,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,Sí,No confiaba en mi abogado,,,,,,90,50,7000,15000,10000,0.25,5.75,0.33333334,8000,No tan bien,Muy común,Mucho,10000,No Sabe,,No Sabe,,,,,,,,,,Sí,1,Nada de acuerdo,Mucho,No,Sí,80,Totalmente de acuerdo,"$50,000 ","$50,000 ","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$15,000 EN UN MES",,,
0224-2016,15-Apr,2016,3-Feb,1979,Secundaria,Indemnización por despido injustificado,Pago de prestaciones,Pago de finiquito,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,Porque no tengo tiempo para atender mi demanda,,,,Un solo pago por el juicio,Un solo pago SOLO si gano el juicio,,,,,,,,,35,35,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,10,300000,500000,300000,1.5,1.6666666,1.5833334,200000,Medianamente bien,Medianamente común,Mucho,500000,No Sabe,,Indemnización Constitucional,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,Otro,,,,,Adeudo de sueldos atrasados,Sí,1,Poco de acuerdo,Medianamente,Sí,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 EN UN MES",,,,,
1240-2015,26-May,2016,19-Sep,1997,Secundaria,Pago de finiquito,,,,,,,,1 a 10 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,35,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,50,50,1,2,1,1,2,2,0,Medianamente bien,Poco común,Medianamente,50000,No Sabe,,No Sabe,,,,,,,,,,No,,Poco de acuerdo,Medianamente,Sí,No,,Poco de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$15,000 EN UN MES",,,
1355-2011,28-Apr,2016,19-Jun,1972,Preparatoria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Un solo pago SOLO si gano el juicio,,,,,,,,,,,20000,,,No sabe,,Me lo recomendó un familiar o amigo,,"Yo decidiría si aceptar o no la oferta, sin consultar a mi abogado",No,,,,,,,100,100,0,0,0,0.5,7.5,7,0,No tan bien,Medianamente común,Mucho,0,No Sabe,,Indemnización Constitucional,Reinstalación,Aguinaldo,,,,,,,,No,,Algo de acuerdo,Mucho,No,Sí,10,Totalmente de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 EN UN MES",,,,,
1784-2015,27-Apr,2016,30-Jun,1986,Más que preparatoria,Pago de finiquito,,,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Ningun pago,,,,,,,,,,,,,,Sí sabe,12000,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,70,0,4000,12000,4000,1.3333334,2.8333333,1.5,5000,No tan bien,Muy común,Mucho,7000,No Sabe,,Indemnización Constitucional,Seguro de gastos médicos mayores,Horas extraordinarias,Aguinaldo,Otro,,,,,Prima vacacional,No,,Poco de acuerdo,Medianamente,No,Sí,80,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
0260-2016,22-Apr,2016,19-Apr,1979,Secundaria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,"Yo decidiría si aceptar o no la oferta, sin consultar a mi abogado",Sí,El desempeño de mi abogado era deficiente,,,,,,100,100,30000,50000,30000,2,10,10,30000,No tan bien,Muy común,Poco,50000,Sí Sabe,90,Indemnización Constitucional,,,,,,,,,,No,,Totalmente de acuerdo,Mucho,Sí,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
0272-2015,23-May,2016,9-Nov,1965,Secundaria,Indemnización por despido injustificado,Pago de prestaciones,Pago de finiquito,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Un solo pago SOLO si gano el juicio,,,,,,,,,,,1,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,50,50,8000,15000,9000,1,2,1,12000,Nada bien,Muy común,Mucho,15000,No Sabe,,No Sabe,,,,,,,,,,No,,Algo de acuerdo,Mucho,Sí,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 EN UN MES",,,,,
1705-2015,14-Apr,2016,27-Dec,1977,Primaria,Indemnización por despido injustificado,,,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Un solo pago SOLO si gano el juicio,,,,,,,,,,,1,,,No sabe,,Ya había trabajado con él antes,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,100,0,0,0,1,3.4166667,2,40000,Nada bien,Muy común,Mucho,100000,No Sabe,,Indemnización Constitucional,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,,,,,,,Sí,1,Poco de acuerdo,Mucho,Sí,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
1502-2015,15-Mar,2016,4-Mar,1973,Secundaria,Indemnización por despido injustificado,,,,,,,,11 a 50 empleados,Otra,,,,,Ningun pago,,,,,,,,,,,,,,Sí sabe,17000,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,85,0,15000,18000,17000,1,1.5,1,12000,No tan bien,Muy común,Mucho,30000,No Sabe,,Indemnización Constitucional,Aguinaldo,,,,,,,,,No,,Totalmente de acuerdo,Mucho,Sí,Sí,80,Poco de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$12,000 EN UN MES",,,,
0424-2013,29-Mar,2016,1-Jul,1962,Secundaria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,35,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,Sí,El desempeño de mi abogado era deficiente,,,,,,100,0,0,0,0,3,4,3.5,30000,No tan bien,Medianamente común,Medianamente,500000,No Sabe,,Indemnización Constitucional,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,,,,,,,No,,Poco de acuerdo,Mucho,Sí,Sí,40,Totalmente de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$20,000 EN UN MES",,
0830-2015,25-Apr,2016,21-May,1951,Secundaria,Indemnización por despido injustificado,,,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,25,,,,,,No sabe,,Por internet,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,85,30,100,250,200,1.9166666,2.8333333,2.8333333,180,Muy bien,Medianamente común,Medianamente,200,No Sabe,,Indemnización Constitucional,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,,,,,,,No,,Algo de acuerdo,Mucho,No,Sí,50,Totalmente de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
0251-2016,15-Apr,2016,19-Jan,1982,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,11 a 50 empleados,Porque no se permite demandar sin un abogado,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,10,,,,,,No sabe,,Ya había trabajado con él antes,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,90,30,20000,35000,35000,1.0833334,2.0833333,1.0833334,25000,Medianamente bien,Medianamente común,Medianamente,35000,No Sabe,,Indemnización Constitucional,Horas extraordinarias,Prima por trabajar los sábados,,,,,,,,No,,Poco de acuerdo,Mucho,No,Sí,60,Algo de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
1761-2014,15-Mar,2016,9-Mar,1979,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,70,,,,,,No sabe,,Otra,Por compaÃ±eros que ya habÃ­an demandado,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,70,20000,30000,20000,1.5,3.9166667,3.9166667,20000,Medianamente bien,Muy común,Medianamente,35000,Sí Sabe,90,Indemnización Constitucional,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,,,,,,,No,,Algo de acuerdo,Mucho,Sí,Sí,50,Poco de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$12,000 EN UN MES",,,,
0313-2015,17-Mar,2016,6-Apr,1988,Más que preparatoria,Otra,,,,,,,,No Sabe ,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,20,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,99,90,50000,200000,180000,2,2.4166667,2.1666667,180000,Nada bien,Muy común,Nada,200000,No Sabe,,Indemnización Constitucional,Horas extraordinarias,Aguinaldo,,,,,,,,No,,Algo de acuerdo,Mucho,No,No,,Nada de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","$50,000 ","$50,000 ","$10,000 MAÑANA","$12,000 EN UN MES",,,,
1881-2012,26-May,2016,21-May,1945,Preparatoria,Indemnización por despido injustificado,,,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,30,,,,,,No sabe,,Me lo recomendaron en la Junta,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,65,75,9999,9999,9999,2,4,3,50000,No tan bien,Poco común,Medianamente,100000,No Sabe,,Indemnización Constitucional,,,,,,,,,,Sí,1,Totalmente de acuerdo,Medianamente,No,Sí,75,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$15,000 EN UN MES",,,
